"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"ref_MCA","Mouse Cell Atlas","clustifyrdatahub/ref_MCA.rda","3.12","mm10","Zip","https://ndownloader.figshare.com/files/10756795","7","Mus musculus","10090",NA,"figshare","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_tabula_muris_drop","Tabula Muris (10X)","clustifyrdatahub/ref_tabula_muris_drop.rda","3.12","mm10","Zip","https://ndownloader.figshare.com/articles/5821263","3","Mus musculus","10090",NA,"figshare","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_tabula_muris_facs","Tabula Muris (SmartSeq2)","clustifyrdatahub/ref_tabula_muris_facs.rda","3.12","mm10","Zip","https://ndownloader.figshare.com/articles/5821263","3","Mus musculus","10090",NA,"figshare","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_mouse.rnaseq","Mouse RNA-seq from 28 cell types","clustifyrdatahub/ref_mouse.rnaseq.rda","3.12","mm10","RDA","https://github.com/dviraran/SingleR/tree/master/data","mouse.rnaseq.rda","Mus musculus","10090",NA,"GitHub","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_moca_main","Mouse Organogenesis Cell Atlas (main cell types)","clustifyrdatahub/ref_moca_main.rda","3.12","mm10","RDA","https://oncoscape.v3.sttrcancer.org/atlas.gs.washington.edu.mouse.rna/downloads","1","Mus musculus","10090",NA,"washington.edu","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_immgen","Mouse sorted immune cells","clustifyrdatahub/ref_immgen.rda","3.12","mm10","RDA","https://github.com/dviraran/SingleR/tree/master/data","immgen.rda","Mus musculus","10090",NA,"GitHub","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_hema_microarray","Human hematopoietic cell microarray","clustifyrdatahub/ref_hema_microarray.rda","3.12","hg38","TXT","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24759/matrix/GSE24759_series_matrix.txt.gz","1","Homo sapiens","9606",NA,"GEO","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_cortex_dev","Human cortex development scRNA-seq","clustifyrdatahub/ref_cortex_dev.rda","3.12","hg38","TSV","https://cells.ucsc.edu/cortex-dev/exprMatrix.tsv.gz","1","Homo sapiens","9606",NA,"UCSC","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_pan_indrop","Human pancreatic cell scRNA-seq (inDrop)","clustifyrdatahub/ref_pan_indrop.rda","3.12","hg38","RDA","https://scrnaseq-public-datasets.s3.amazonaws.com/scater-objects/baron-human.rds","1","Homo sapiens","9606",NA,"S3","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_pan_smartseq2","Human pancreatic cell scRNA-seq (SmartSeq2)","clustifyrdatahub/ref_pan_smartseq2.rda","3.12","hg38","RDA","https://scrnaseq-public-datasets.s3.amazonaws.com/scater-objects/segerstolpe.rds","1","Homo sapiens","9606",NA,"S3","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
"ref_mouse_atlas","Mouse Atlas scRNA-seq from 321 cell types","clustifyrdatahub/ref_mouse_atlas.rda","3.12","mm10","RDA","https://github.com/rnabioco/scRNA-seq-Cell-Ref-Matrix/blob/master/atlas/musMusculus/MouseAtlas.rda","1","Mus musculus","10090",NA,"GEO","Rui Fu <raysinensis@gmail.com>","data.frame","Rda"
